countyID,LKType,LKName,probText,n_people
5334,StädteRegion,Aachen,99.8,553922.0
7131,LK,Ahrweiler,-53.5,127770.0
9771,LK,Aichach-Friedberg,-51.1,130916.0
8425,LK,Alb-Donau-Kreis,98.8,192104.0
16077,LK,Altenburger,-50.9,92344.0
7132,LK,Altenkirchen,-50.5,129171.0
15081,LK,Altmarkkreis,-50.5,86164.0
9171,LK,Altötting,-51.300000000000004,108485.0
7331,LK,Alzey-Worms,-51.1,127274.0
9361,SK,Amberg,-50.2,41861.0
9371,LK,Amberg-Sulzbach,-52.2,103568.0
3451,LK,Ammerland,50.9,121435.0
15082,LK,Anhalt-Bitterfeld,-52.5,164817.0
9561,SK,Ansbach,-51.6,41159.0
9571,LK,Ansbach,-52.800000000000004,181314.0
9661,SK,Aschaffenburg,-53.4,68986.0
9671,LK,Aschaffenburg,-52.7,173695.0
9761,SK,Augsburg,-51.5,286374.0
9772,LK,Augsburg,-53.1,245600.0
3452,LK,Aurich,-55.1,189199.0
7133,LK,Bad,-50.4,156821.0
7332,LK,Bad,-51.2,132203.0
9173,LK,Bad,-51.800000000000004,124930.0
9672,LK,Bad,-52.2,103106.0
8211,SK,Baden-Baden,-52.7,54160.0
9461,SK,Bamberg,-51.5,73331.0
9471,LK,Bamberg,-52.0,145570.0
12060,LK,Barnim,-53.3,177411.0
14625,LK,Bautzen,-53.3,306273.0
9462,SK,Bayreuth,-51.300000000000004,72148.0
9472,LK,Bayreuth,-53.5,104306.0
9172,LK,Berchtesgadener,-51.7,103907.0
6431,LK,Bergstraße,-54.199999999999996,266928.0
11001,SK,Berlin,-53.5,357637.0
11002,SK,Berlin,-54.5,272385.0
11003,SK,Berlin,-53.199999999999996,384810.0
11004,SK,Berlin,-52.0,308373.0
11005,SK,Berlin,-53.1,229577.0
11006,SK,Berlin,-55.4,284240.0
11007,SK,Berlin,-51.4,332821.0
11008,SK,Berlin,-53.3,320017.0
11009,SK,Berlin,-50.9,249754.0
11010,SK,Berlin,-54.199999999999996,256166.0
11011,SK,Berlin,-51.9,273455.0
11012,SK,Berlin,-51.300000000000004,250796.0
7231,LK,Bernkastel-Wittlich,-54.5,111828.0
8426,LK,Biberach,-55.3,194019.0
5711,SK,Bielefeld,-53.3,333090.0
7134,LK,Birkenfeld,-51.0,80615.0
7232,LK,Bitburg-Prüm,-52.300000000000004,97180.0
5911,SK,Bochum,-51.7,364742.0
8435,LK,Bodenseekreis,51.0,212201.0
5314,SK,Bonn,98.3,318809.0
5554,LK,Borken,-53.5,369666.0
5512,SK,Bottrop,-53.5,117143.0
12051,SK,Brandenburg,-51.9,71574.0
3101,SK,Braunschweig,50.2,251364.0
8315,LK,Breisgau-Hochschwarzwald,100.0,257343.0
4011,SK,Bremen,-52.900000000000006,557464.0
4012,SK,Bremerhaven,-52.1,114025.0
15084,LK,Burgenlandkreis,-51.5,184081.0
8115,LK,Böblingen,97.3,381281.0
15083,LK,Börde,-53.1,173473.0
8235,LK,Calw,-53.3,155359.0
3351,LK,Celle,50.5,177971.0
9372,LK,Cham,-50.5,126359.0
14511,SK,Chemnitz,-51.9,248645.0
3453,LK,Cloppenburg,50.7,164734.0
