countyID,LKType,LKName,probText,n_people
5334,StädteRegion,Aachen,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.9\% steigen,553922.0
7131,LK,Ahrweiler,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 100.0\% fallen,127770.0
9771,LK,Aichach-Friedberg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 67.5\% steigen,130916.0
8425,LK,Alb-Donau-Kreis,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 57.0\% fallen,192104.0
16077,LK,Altenburger,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.6\% fallen,92344.0
7132,LK,Altenkirchen,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 94.2\% fallen,129171.0
15081,LK,Altmarkkreis,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 52.6\% steigen,86164.0
9171,LK,Altötting,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 89.8\% fallen,108485.0
7331,LK,Alzey-Worms,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 58.2\% steigen,127274.0
9361,SK,Amberg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 78.9\% steigen,41861.0
9371,LK,Amberg-Sulzbach,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 57.7\% steigen,103568.0
3451,LK,Ammerland,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 86.3\% steigen,121435.0
15082,LK,Anhalt-Bitterfeld,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 51.9\% fallen,164817.0
9561,SK,Ansbach,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 94.5\% fallen,41159.0
9571,LK,Ansbach,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 64.3\% steigen,181314.0
9661,SK,Aschaffenburg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 75.8\% fallen,68986.0
9671,LK,Aschaffenburg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 67.2\% fallen,173695.0
9761,SK,Augsburg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 82.0\% steigen,286374.0
9772,LK,Augsburg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 97.8\% steigen,245600.0
3452,LK,Aurich,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 97.1\% fallen,189199.0
7133,LK,Bad,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 96.1\% fallen,156821.0
7332,LK,Bad,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 73.7\% steigen,132203.0
9173,LK,Bad,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 98.6\% fallen,124930.0
9672,LK,Bad,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 75.3\% fallen,103106.0
8211,SK,Baden-Baden,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 70.5\% steigen,54160.0
9461,SK,Bamberg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 75.4\% steigen,73331.0
9471,LK,Bamberg,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 89.0\% steigen,145570.0
12060,LK,Barnim,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 87.5\% steigen,177411.0
14625,LK,Bautzen,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 92.3\% steigen,306273.0
9462,SK,Bayreuth,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 84.8\% steigen,72148.0
9472,LK,Bayreuth,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 94.0\% steigen,104306.0
9172,LK,Berchtesgadener,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.3\% steigen,103907.0
6431,LK,Bergstraße,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 77.2\% fallen,266928.0
11001,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 98.9\% steigen,357637.0
11002,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.6\% steigen,272385.0
11003,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 72.1\% steigen,384810.0
11004,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 87.8\% steigen,308373.0
11005,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 82.4\% steigen,229577.0
11006,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 74.2\% steigen,284240.0
11007,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.5\% steigen,332821.0
11008,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 99.0\% steigen,320017.0
11009,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 97.0\% steigen,249754.0
11010,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 98.9\% steigen,256166.0
11011,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 93.1\% steigen,273455.0
11012,SK,Berlin,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 84.7\% steigen,250796.0
7231,LK,Bernkastel-Wittlich,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 82.1\% steigen,111828.0
8426,LK,Biberach,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 93.4\% fallen,194019.0
5711,SK,Bielefeld,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 53.0\% fallen,333090.0
7134,LK,Birkenfeld,Die Fallzahlen werden mit einer Wahrscheinlichkeit von 69.4\% steigen,80615.0
