,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2020-09-23,4.0034814,1.1414059372327756,1,0.2851033499643621,6,1.7106200997861725,0,0.0,12,3.421240199572345,3.0955832,0.8825611075735651,1,0.2851033499643621,4,1.1404133998574484,0,0.0,9,2.565930149679259,,,,,,,,,,,8.0,,False,False,False
2020-09-24,4.638745,1.3225217116996646,2,0.5702066999287242,7,1.9957234497505345,0,0.0,13,3.706343549536707,3.3900173,0.9665052857599221,1,0.2851033499643621,5,1.4255167498218104,0,0.0,10,2.851033499643621,,,,,,,,,,,5.0,,False,False,False
2020-09-25,4.1940956,1.1957507012994029,2,0.5702066999287242,6,1.7106200997861725,0,0.0,12,3.421240199572345,3.7147849,1.0590975762170274,1,0.2851033499643621,5,1.4255167498218104,0,0.0,10,2.851033499643621,,,,,,,,,,,3.0,,False,False,False
2020-09-26,3.3931277,0.9673920430941507,1,0.2851033499643621,5,1.4255167498218104,0,0.0,10,2.851033499643621,4.0732193,1.1612884918577038,1,0.2851033499643621,6,1.7106200997861725,0,0.0,11,3.1361368496079827,,,,,,,,,,,11.0,,False,False,False
2020-09-27,2.6952264,0.7684180673095398,1,0.2851033499643621,4,1.1404133998574484,0,0.0,8,2.2808267997148968,4.469035,1.2741368664137553,2,0.5702066999287242,6,1.7106200997861725,0,0.0,12,3.421240199572345,,,,,,,,,,,0.0,,False,False,False
2020-09-28,3.343559,0.9532598596706521,1,0.2851033499643621,5,1.4255167498218104,0,0.0,9,2.565930149679259,4.906377,1.3988244973006658,2,0.5702066999287242,7,1.9957234497505345,0,0.0,13,3.706343549536707,,,,,,,,,,,2.0,,False,False,False
2020-09-29,6.5876155,1.878151306300424,3,0.8553100498930862,9,2.565930149679259,1,0.2851033499643621,16,4.5616535994297935,5.3898993,1.5366782463388517,2,0.5702066999287242,7,1.9957234497505345,0,0.0,14,3.991446899501069,,,,,,,,,,,5.0,34.0,False,False,False
2020-09-30,7.242224,2.0647823475883342,3,0.8553100498930862,10,2.851033499643621,1,0.2851033499643621,18,5.131860299358518,5.9247627,1.689169766905252,2,0.5702066999287242,8,2.2808267997148968,0,0.0,15,4.276550249465432,28.536,8.135709194583038,20.0,5.702066999287242,35.0,9.978617248752673,13.0,3.706343549536707,53.0,15.110477548111191,5.0,31.0,False,False,False
2020-10-01,9.448298,2.693741589609999,4,1.1404133998574484,13,3.706343549536707,1,0.2851033499643621,24,6.84248039914469,6.516789,1.8579583411337808,3,0.8553100498930862,9,2.565930149679259,1,0.2851033499643621,17,4.846756949394155,31.367,8.942836778332145,23.0,6.557377049180328,38.0,10.83392729864576,15.0,4.276550249465432,56.0,15.965787598004276,1.0,27.0,False,False,False
2020-10-02,8.221254,2.3439071810571477,4,1.1404133998574484,12,3.421240199572345,1,0.2851033499643621,21,5.9871703492516035,7.172464,2.044893517449964,3,0.8553100498930862,10,2.851033499643621,1,0.2851033499643621,18,5.131860299358518,34.494,9.834354953670704,25.0,7.127583749109053,42.0,11.974340698503207,17.0,4.846756949394155,59.0,16.821097647897364,8.0,32.0,False,False,False
2020-10-03,6.2471576,1.7810854842537083,3,0.8553100498930862,9,2.565930149679259,1,0.2851033499643621,17,4.846756949394155,7.899062,2.2520491256727837,3,0.8553100498930862,11,3.1361368496079827,1,0.2851033499643621,20,5.702066999287242,37.944,10.817961511047756,28.0,7.982893799002138,46.0,13.114754098360656,19.0,5.41696364932288,63.0,17.96151104775481,4.0,25.0,False,False,False
2020-10-04,5.428013,1.5475447071366943,2,0.5702066999287242,8,2.2808267997148968,1,0.2851033499643621,14,3.991446899501069,8.704731,2.4817480152705684,3,0.8553100498930862,12,3.421240199572345,1,0.2851033499643621,22,6.272273699215965,41.776,11.910477548111192,31.0,8.838203848895224,50.0,14.255167498218105,21.0,5.9871703492516035,69.0,19.672131147540984,0.0,25.0,False,False,False
2020-10-05,6.6495757,1.8958162399940193,3,0.8553100498930862,9,2.565930149679259,1,0.2851033499643621,17,4.846756949394155,9.598609,2.7365955247660168,4,1.1404133998574484,13,3.706343549536707,1,0.2851033499643621,24,6.84248039914469,46.009,13.117320028510337,34.0,9.69351389878831,55.0,15.680684248039913,23.0,6.557377049180328,74.0,21.097647897362794,3.0,26.0,False,False,False
2020-10-06,12.884698,3.673470564535819,6,1.7106200997861725,18,5.131860299358518,2,0.5702066999287242,31,8.838203848895224,10.59096,3.0195180443115532,5,1.4255167498218104,15,4.276550249465432,1,0.2851033499643621,28,7.982893799002138,50.699,14.454454739843193,38.0,10.83392729864576,61.0,17.39130434782609,26.0,7.412687099073414,83.0,23.663578047042055,12.0,33.0,False,False,False
2020-10-07,14.0522375,4.0063401684165,6,1.7106200997861725,20,5.702066999287242,2,0.5702066999287242,35,9.978617248752673,11.693295,3.3337975764879957,5,1.4255167498218104,16,4.5616535994297935,2,0.5702066999287242,31,8.838203848895224,55.901,15.937562366357806,42.0,11.974340698503207,67.0,19.10192444761226,29.0,8.2679971489665,92.0,26.229508196721312,6.0,34.0,False,False,False
2020-10-08,18.713373,5.3352454415289685,9,2.565930149679259,25,7.127583749109053,3,0.8553100498930862,47,13.399857448325017,12.91854,3.6831192119279876,6,1.7106200997861725,18,5.131860299358518,2,0.5702066999287242,34,9.69351389878831,61.675,17.58374910905203,46.0,13.114754098360656,74.0,21.097647897362794,32.0,9.123307198859587,102.0,29.080541696364932,4.0,37.0,False,False,False
2020-10-09,16.593897,4.730975706479512,8,2.2808267997148968,23,6.557377049180328,2,0.5702066999287242,41,11.689237348538846,14.281266,4.071636794833466,6,1.7106200997861725,19,5.41696364932288,2,0.5702066999287242,37,10.548823948681397,68.081,19.410121168923737,52.0,14.825374198146829,81.0,23.09337134711333,35.0,9.978617248752673,111.0,31.646471846044193,22.0,51.0,False,False,False
2020-10-10,12.27237,3.498893784126267,5,1.4255167498218104,17,4.846756949394155,1,0.2851033499643621,32,9.123307198859587,15.797813,4.504009484662674,7,1.9957234497505345,22,6.272273699215965,2,0.5702066999287242,40,11.404133998574483,75.186,21.43578047042053,56.0,15.965787598004276,90.0,25.659301496792587,39.0,11.11903064861012,123.0,35.06771204561654,38.0,85.0,False,False,False
2020-10-11,10.885885,3.1036022846819833,4,1.1404133998574484,15,4.276550249465432,1,0.2851033499643621,28,7.982893799002138,17.48661,4.985491250408813,8,2.2808267997148968,24,6.84248039914469,2,0.5702066999287242,41,11.689237348538846,83.081,23.686671418389167,63.0,17.96151104775481,99.0,28.225231646471844,44.0,12.54454739843193,142.0,40.48467569493942,18.0,103.0,False,False,False
2020-10-12,12.917756,3.6828954762313515,6,1.7106200997861725,17,4.846756949394155,2,0.5702066999287242,34,9.69351389878831,19.368387,5.521991988644004,9,2.565930149679259,26,7.412687099073414,3,0.8553100498930862,46,13.114754098360656,91.892,26.19871703492516,70.0,19.957234497505347,111.0,31.646471846044193,48.0,13.68496079828938,153.0,43.6208125445474,4.0,104.0,False,False,False
2020-10-13,24.563574,7.003157224971801,11,3.1361368496079827,33,9.408410548823948,3,0.8553100498930862,65,18.531717747683533,21.466564,6.120189209468663,9,2.565930149679259,29,8.2679971489665,3,0.8553100498930862,50,14.255167498218105,101.632,28.975623663578048,77.0,21.95295794725588,122.0,34.78260869565218,52.0,14.825374198146829,171.0,48.75267284390591,29.0,121.0,False,False,False
2020-10-14,29.023098,8.274582796730101,12,3.421240199572345,38,10.83392729864576,4,1.1404133998574484,72,20.527441197434072,23.807518,6.78760334267281,11,3.1361368496079827,32,9.123307198859587,4,1.1404133998574484,59,16.821097647897364,112.493,32.07213114754098,84.0,23.948681397006414,135.0,38.48895224518888,57.0,16.25089094796864,197.0,56.16535994297933,29.0,144.0,True,False,False
2020-10-15,35.152958,10.02222634269856,16,4.5616535994297935,48,13.68496079828938,6,1.7106200997861725,95,27.0848182466144,26.420998,7.532715244451538,11,3.1361368496079827,34,9.69351389878831,4,1.1404133998574484,67,19.10192444761226,124.617,35.52872416250891,91.0,25.94440484675695,147.0,41.91019244476123,63.0,17.96151104775481,219.0,62.437633642195294,32.0,172.0,True,False,False
2020-10-16,30.664621,8.742586214793846,12,3.421240199572345,38,10.83392729864576,4,1.1404133998574484,73,20.81254454739843,29.340643,8.365115354536101,12,3.421240199572345,38,10.83392729864576,5,1.4255167498218104,74,21.097647897362794,138.138,39.38360655737705,99.0,28.225231646471844,166.0,47.32715609408411,69.0,19.672131147540984,240.0,68.42480399144691,24.0,174.0,True,False,False
2020-10-17,24.97637,7.120846566976979,10,2.851033499643621,33,9.408410548823948,3,0.8553100498930862,63,17.96151104775481,32.6045,9.295652125729248,14,3.991446899501069,42,11.974340698503207,5,1.4255167498218104,80,22.808267997148967,153.189,43.67469707769066,109.0,31.076265146115468,184.0,52.459016393442624,74.0,21.097647897362794,262.0,74.69707769066287,19.0,155.0,True,False,False
2020-10-18,22.80333,6.501305324491113,9,2.565930149679259,30,8.553100498930863,3,0.8553100498930862,58,16.535994297933,36.255516,10.336568811908364,17,4.846756949394155,48,13.68496079828938,6,1.7106200997861725,94,26.799714896650034,169.995,48.466143977191734,119.0,33.92729864575909,204.0,58.161083392729864,79.0,22.523164647184604,293.0,83.5352815395581,4.0,141.0,True,False,False
2020-10-19,28.530363,8.134102245094255,12,3.421240199572345,37,10.548823948681397,4,1.1404133998574484,70,19.957234497505347,40.342445,11.501766130095348,17,4.846756949394155,52,14.825374198146829,6,1.7106200997861725,108,30.7911617961511,188.742,53.81097647897363,131.0,37.34853884533143,229.0,65.28866714183891,85.0,24.233784746970777,339.0,96.65003563791875,,,False,False,True
2020-10-20,57.570713,16.413602861575782,23,6.557377049180328,78,22.23806129722024,7,1.9957234497505345,161,45.90163934426229,44.92042,12.80696305911988,19,5.41696364932288,58,16.535994297933,6,1.7106200997861725,120,34.212401995723454,209.725,59.79330007127584,144.0,41.054882394868145,251.0,71.56094084105489,92.0,26.229508196721312,386.0,110.04989308624376,,,False,False,True
2020-10-21,68.30984,19.47536366060376,28,7.982893799002138,88,25.08909479686386,11,3.1361368496079827,178,50.748396293656455,50.051926,14.269971870817244,20,5.702066999287242,68,19.38702779757662,7,1.9957234497505345,130,37.06343549536707,233.207,66.48809693513898,156.0,44.47612259444048,278.0,79.25873129009265,97.0,27.65502494654312,445.0,126.87099073414112,,,False,False,True
2020-10-22,86.48634,24.657545145601034,33,9.408410548823948,112,31.931575196008552,12,3.421240199572345,228,65.00356379187456,55.80799,15.911045193206519,21,5.9871703492516035,71,20.24233784746971,8,2.2808267997148968,152,43.33570919458304,259.439,73.96692801140415,169.0,48.182466143977194,315.0,89.80755523877406,103.0,29.365645046329295,498.0,141.9814682822523,,,False,False,True
2020-10-23,74.02239,21.104031475260854,30,8.553100498930863,95,27.0848182466144,10,2.851033499643621,200,57.02066999287242,62.269096,17.753128486219794,24,6.84248039914469,78,22.23806129722024,8,2.2808267997148968,170,48.467569493941554,288.81,82.3406985032074,183.0,52.17391304347826,343.0,97.7904490377762,113.0,32.21667854597291,575.0,163.9344262295082,,,False,False,True
