,Raw Prediction Mean,Raw Prediction Mean100k,Raw Prediction Q25,Raw Prediction Q75,Raw Prediction Q5,Raw Prediction Q95,Trend Prediction Mean,Trend Prediction Mean100k,Trend Prediction Q25,Trend Prediction Q75,Trend Prediction Q5,Trend Prediction Q95,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q75,Trend 7Week Prediction Q5,Trend 7Week Prediction Q95,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2020-10-10,2.0362537,1.0550592378422152,0,3,0,6,2.550266,1.321388208452845,1,4,0,7,,,,,,,0.0,,False,False,False
2020-10-11,1.5550097,0.8057087143242825,0,2,0,4,2.8347113,1.4687699149362743,1,4,0,8,,,,,,,0.0,,False,False,False
2020-10-12,2.3322005,1.2084003174095415,1,3,0,7,3.1535501,1.6339723515557125,1,4,0,8,,,,,,,5.0,,False,False,False
2020-10-13,3.9301891,2.036377918557264,1,6,0,11,3.5112226,1.8192957213614136,1,5,0,9,,,,,,,9.0,,False,False,False
2020-10-14,5.46577,2.8320197088760324,2,8,0,14,3.9127717,2.027353366429452,2,5,0,11,,,,,,,1.0,,False,False,False
2020-10-15,5.9129443,3.063717667828314,3,8,1,15,4.3639326,2.2611166059505194,2,6,0,10,,,,,,,2.0,,False,False,False
2020-10-16,6.134883,3.1787123589310795,3,9,1,16,4.871238,2.5239707611035556,2,7,0,12,,,,,,,6.0,23.0,False,False,False
2020-10-17,4.586864,2.3766257072566077,2,6,0,11,5.4421253,2.8197686333442107,2,7,0,14,24.705,12.800584458986833,18.0,31.0,10.0,44.0,0.0,23.0,False,False,False
2020-10-18,3.5200293,1.8238588381791487,1,5,0,9,6.0850787,3.152906720060855,3,8,1,14,27.589,14.294892719651395,20.0,34.0,12.0,47.0,0.0,23.0,False,False,False
2020-10-19,5.259318,2.725049307628069,2,7,1,13,6.809781,3.528402157826349,3,9,1,16,30.843,15.980911818195949,22.0,38.0,15.0,52.0,14.0,32.0,False,False,False
2020-10-20,8.683914,4.499460555962287,4,12,1,21,7.6272707,3.9519742131233215,4,10,1,18,34.495,17.873149601811406,26.0,42.0,18.0,56.0,13.0,36.0,False,False,False
2020-10-21,12.076741,6.257411587284878,6,16,2,28,8.550166,4.430160697665997,4,11,1,20,38.595,19.997512940481556,28.0,46.0,20.0,65.0,14.0,49.0,False,False,False
2020-10-22,13.245623,6.863052112748846,7,17,3,30,9.592936,4.97045875818003,5,13,1,22,43.251,22.409960673371362,32.0,52.0,23.0,69.0,15.0,62.0,False,False,False
2020-10-23,13.890338,7.197103695943952,7,18,2,33,10.772077,5.581415825872682,5,14,2,25,48.483,25.120855548474342,37.0,57.0,27.0,79.0,10.0,66.0,False,False,False
2020-10-24,10.646312,5.516252349480055,5,15,2,25,12.106522,6.272841710597277,6,17,2,28,54.385,28.17890248136001,42.0,64.0,30.0,87.0,26.0,92.0,False,False,False
2020-10-25,8.255731,4.277602783986367,4,12,1,20,13.6179695,7.05597922205925,7,18,3,33,61.044,31.629179425800135,47.0,72.0,34.0,95.0,2.0,94.0,False,False,False
2020-10-26,12.207799,6.32531737210229,6,17,2,28,15.331299,7.943719538161531,8,21,3,37,68.584,35.53593541935451,53.0,82.0,38.0,108.0,5.0,85.0,False,False,False
2020-10-27,20.303326,10.519912029849365,10,27,4,47,17.275118,8.950884512159973,9,23,3,41,77.096,39.9463209653936,59.0,93.0,43.0,119.0,34.0,106.0,False,False,False
2020-10-28,28.154606,14.587954501621425,15,38,5,67,19.482239,10.0944766018074,10,26,4,47,86.741,44.94375618526521,67.0,103.0,50.0,139.0,23.0,115.0,False,False,False
2020-10-29,31.795826,16.47460594540462,16,41,7,73,21.990442,11.39407031587325,11,29,4,53,97.66,50.60129845232358,75.0,119.0,56.0,160.0,21.0,121.0,False,False,False
2020-10-30,33.70788,17.465311975684017,16,44,7,79,24.843206,12.87219492951408,12,33,5,58,110.068,57.030347307499,83.0,134.0,62.0,187.0,16.0,127.0,False,False,False
2020-10-31,25.3004,13.109082647133619,13,34,5,62,28.09058,14.554780500475317,15,37,6,67,124.165,64.33453023072659,94.0,150.0,67.0,218.0,19.0,120.0,True,False,False
2020-11-01,19.877329,10.299187852069736,9,25,3,44,31.79035,16.47176977712661,15,43,6,80,140.124,72.60348499215021,104.0,171.0,73.0,247.0,2.0,120.0,True,False,False
2020-11-02,30.24268,15.66986320540309,15,39,6,79,36.009117,18.657669716048986,16,48,7,90,158.307,82.0247773304525,116.0,193.0,79.0,284.0,13.0,128.0,True,False,False
2020-11-03,50.606796,26.221273583360016,23,61,10,129,40.823742,21.15230745403096,19,54,7,105,178.97,92.73105041995036,128.0,223.0,87.0,336.0,17.0,111.0,True,False,False
2020-11-04,69.57924,36.05160454753786,32,89,13,186,46.323204,24.001784913707525,21,60,9,110,202.526,104.93629500670988,139.0,252.0,96.0,387.0,16.0,104.0,True,False,False
2020-11-05,75.54854,39.14452390745282,34,98,12,188,52.610413,27.259421767666936,24,68,10,128,229.373,118.84672977580193,153.0,284.0,101.0,443.0,,,False,False,True
2020-11-06,79.08415,40.97645578440279,35,107,15,220,59.804268,30.986827914603055,27,78,12,155,259.975,134.70277048067607,171.0,319.0,109.0,521.0,,,False,False,True
2020-11-07,59.72639,30.946475453674793,26,77,10,161,68.042915,35.25557985994965,30,90,12,189,294.95,152.82462603433177,189.0,368.0,118.0,603.0,,,False,False,True
2020-11-08,46.516277,24.101823510136455,20,60,8,120,77.48626,40.14853038825095,33,96,12,209,334.892,173.52007005217644,213.0,417.0,123.0,719.0,,,False,False,True
2020-11-09,70.9876,36.78133070934564,27,90,10,204,88.32006,45.76192586682737,35,117,14,244,380.594,197.1999854921528,232.0,464.0,137.0,843.0,,,False,False,True
