,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2020-10-17,4.1933684,3.805890810326673,2,1.8151949973225874,6,5.4455849919677615,0,0.0,10,9.075974986612938,13.33571,12.103456538170576,6,5.4455849919677615,17,15.429157477241993,2,1.8151949973225874,31,28.135522458500105,,,,,,,,,,,6.0,,False,False,False
2020-10-18,3.1365345,2.8467107767937705,1,0.9075974986612937,4,3.6303899946451748,0,0.0,8,7.2607799892903495,13.274834,12.048205826431513,6,5.4455849919677615,17,15.429157477241993,3,2.7227924959838807,31,28.135522458500105,,,,,,,,,,,1.0,,False,False,False
2020-10-19,4.5972986,4.1724968468770385,2,1.8151949973225874,6,5.4455849919677615,0,0.0,11,9.98357248527423,13.220985,11.999333219137043,7,6.353182490629056,18,16.336754975903286,3,2.7227924959838807,29,26.320327461177516,,,,,,,,,,,5.0,,False,False,False
2020-10-20,7.9759617,7.23896300769411,4,3.6303899946451748,11,9.98357248527423,2,1.8151949973225874,18,16.336754975903286,13.174073,11.956755770370364,7,6.353182490629056,18,16.336754975903286,3,2.7227924959838807,30,27.227924959838813,,,,,,,,,,,22.0,,False,False,False
2020-10-21,11.6140995,10.540927905822173,6,5.4455849919677615,16,14.521559978580699,2,1.8151949973225874,26,23.59753496519364,13.13402,11.920403630938381,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,29,26.320327461177516,,,,,,,,,,,10.0,,False,False,False
2020-10-22,12.467665,11.315621668472886,6,5.4455849919677615,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,13.100802,11.890255700564012,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,,,,,,,,,,,10.0,,False,False,False
2020-10-23,13.253844,12.029155914206058,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,31,28.135522458500105,13.074353,11.866250133607537,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,,,,,,,,,,,4.0,58.0,False,False,False
2020-10-24,10.394642,9.43415070651099,5,4.537987493306469,14,12.706364981258112,2,1.8151949973225874,24,21.782339967871046,13.05464,11.84835855383426,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,91.808,83.32471115709606,70.0,63.53182490629056,108.0,98.02052985541972,50.0,45.379874933064684,141.0,127.97124731124241,8.0,60.0,False,False,False
2020-10-25,7.9258547,7.19348608981818,4,3.6303899946451748,10,9.075974986612938,1,0.9075974986612937,19,17.24435247456458,13.041652,11.836570774903521,8,7.2607799892903495,18,16.336754975903286,3,2.7227924959838807,29,26.320327461177516,91.539,83.08056742995616,70.0,63.53182490629056,108.0,98.02052985541972,52.0,47.19506993038728,140.0,127.06364981258112,3.0,62.0,False,False,False
2020-10-26,10.151321,9.213313751388341,5,4.537987493306469,13,11.79876748259682,2,1.8151949973225874,23,20.874742469209757,13.035377,11.830875155283138,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,91.314,82.87635799275736,72.0,65.34701990361314,107.0,97.11293235675842,54.0,49.01026492770986,140.0,127.06364981258112,2.0,59.0,False,False,False
2020-10-27,14.384916,13.055713498033583,8,7.2607799892903495,19,17.24435247456458,3,2.7227924959838807,32,29.043119957161398,13.035789,11.831249139504507,7,6.353182490629056,18,16.336754975903286,2,1.8151949973225874,29,26.320327461177516,91.116,82.69665368802244,72.0,65.34701990361314,107.0,97.11293235675842,54.0,49.01026492770986,141.0,127.97124731124241,15.0,52.0,False,False,False
2020-10-28,17.327892,15.726751007605344,9,8.168377487951643,23,20.874742469209757,4,3.6303899946451748,37,33.58110745046787,13.04291,11.837712372653186,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,90.97,82.56414445321789,73.0,66.25461740227445,107.0,97.11293235675842,54.0,49.01026492770986,138.0,125.24845481525853,16.0,58.0,False,False,False
2020-10-29,19.1366,17.368330736644566,11,9.98357248527423,25,22.689937466532342,4,3.6303899946451748,42,38.119094943774336,13.056738,11.850262671941891,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,29,26.320327461177516,90.887,82.488813860829,75.0,68.06981239959703,106.0,96.20533485809713,55.0,49.91786242637116,137.0,124.34085731659722,14.0,62.0,False,False,False
2020-10-30,20.953651,19.017481827177107,11,9.98357248527423,27,24.50513246385493,5,4.537987493306469,46,41.74948493841951,13.077319,11.868942237924784,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,29,26.320327461177516,90.826,82.43345041341065,75.0,68.06981239959703,106.0,96.20533485809713,56.0,50.82545992503245,137.0,124.34085731659722,24.0,82.0,False,False,False
2020-10-31,15.947238,14.473673945758492,9,8.168377487951643,22,19.96714497054846,4,3.6303899946451748,35,31.76591245314528,13.104671,11.893766350112855,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,28,25.412729962516224,90.841,82.44706437589058,75.0,68.06981239959703,106.0,96.20533485809713,56.0,50.82545992503245,136.0,123.43325981793595,31.0,105.0,False,True,False
2020-11-01,11.148229,10.1181045465637,6,5.4455849919677615,15,13.613962479919406,2,1.8151949973225874,26,23.59753496519364,13.138847,11.924785212613642,7,6.353182490629056,18,16.336754975903286,3,2.7227924959838807,31,28.135522458500105,90.901,82.50152022581025,75.0,68.06981239959703,106.0,96.20533485809713,56.0,50.82545992503245,136.0,123.43325981793595,7.0,109.0,False,False,False
2020-11-02,13.351536,12.117820733692497,7,6.353182490629056,18,16.336754975903286,2,1.8151949973225874,30,27.227924959838813,13.179914,11.96205776068382,7,6.353182490629056,18,16.336754975903286,3,2.7227924959838807,29,26.320327461177516,91.002,82.59318757317504,74.0,67.16221490093574,107.0,97.11293235675842,55.0,49.91786242637116,136.0,123.43325981793595,6.0,113.0,False,False,False
2020-11-03,18.201706,16.519823111593723,10,9.075974986612938,25,22.689937466532342,4,3.6303899946451748,39,35.396302447790454,13.227892,12.005601456621662,7,6.353182490629056,17,15.429157477241993,3,2.7227924959838807,27,24.50513246385493,91.126,82.70572966300905,74.0,67.16221490093574,108.0,98.02052985541972,55.0,49.91786242637116,140.0,127.06364981258112,22.0,120.0,False,False,False
