countyID,LKType,LKName,probText,n_people
5334,StädteRegion,Aachen,-60.8,553922.0
7131,LK,Ahrweiler,-87.3,127770.0
9771,LK,Aichach-Friedberg,57.199999999999996,130916.0
8425,LK,Alb-Donau-Kreis,-75.6,192104.0
16077,LK,Altenburger,-69.2,92344.0
7132,LK,Altenkirchen,-98.2,129171.0
15081,LK,Altmarkkreis,74.8,86164.0
9171,LK,Altötting,81.8,108485.0
7331,LK,Alzey-Worms,85.39999999999999,127274.0
9361,SK,Amberg,-98.6,41861.0
9371,LK,Amberg-Sulzbach,-95.7,103568.0
3451,LK,Ammerland,-59.599999999999994,121435.0
15082,LK,Anhalt-Bitterfeld,-71.1,164817.0
9561,SK,Ansbach,50.1,41159.0
9571,LK,Ansbach,71.8,181314.0
9661,SK,Aschaffenburg,-90.3,68986.0
9671,LK,Aschaffenburg,-84.0,173695.0
9761,SK,Augsburg,76.5,286374.0
9772,LK,Augsburg,66.9,245600.0
3452,LK,Aurich,97.5,189199.0
7133,LK,Bad,63.3,156821.0
7332,LK,Bad,-76.6,132203.0
9173,LK,Bad,-52.400000000000006,124930.0
9672,LK,Bad,-57.0,103106.0
8211,SK,Baden-Baden,-69.3,54160.0
9461,SK,Bamberg,87.7,73331.0
9471,LK,Bamberg,60.8,145570.0
12060,LK,Barnim,73.7,177411.0
14625,LK,Bautzen,72.5,306273.0
9462,SK,Bayreuth,67.5,72148.0
9472,LK,Bayreuth,-61.0,104306.0
9172,LK,Berchtesgadener,-75.3,103907.0
6431,LK,Bergstraße,-76.6,266928.0
11001,SK,Berlin,-59.9,357637.0
11002,SK,Berlin,78.4,272385.0
11003,SK,Berlin,-51.7,384810.0
11004,SK,Berlin,82.3,308373.0
11005,SK,Berlin,61.6,229577.0
11006,SK,Berlin,-57.2,284240.0
11007,SK,Berlin,78.8,332821.0
11008,SK,Berlin,86.5,320017.0
11009,SK,Berlin,-77.3,249754.0
11010,SK,Berlin,79.7,256166.0
11011,SK,Berlin,79.9,273455.0
11012,SK,Berlin,84.6,250796.0
7231,LK,Bernkastel-Wittlich,52.2,111828.0
8426,LK,Biberach,-63.5,194019.0
5711,SK,Bielefeld,83.5,333090.0
7134,LK,Birkenfeld,70.19999999999999,80615.0
7232,LK,Bitburg-Prüm,95.19999999999999,97180.0
5911,SK,Bochum,-53.8,364742.0
8435,LK,Bodenseekreis,66.4,212201.0
5314,SK,Bonn,80.5,318809.0
5554,LK,Borken,-87.4,369666.0
5512,SK,Bottrop,-68.0,117143.0
12051,SK,Brandenburg,-59.0,71574.0
3101,SK,Braunschweig,52.7,251364.0
8315,LK,Breisgau-Hochschwarzwald,-54.9,257343.0
4011,SK,Bremen,72.6,557464.0
4012,SK,Bremerhaven,81.2,114025.0
15084,LK,Burgenlandkreis,-57.4,184081.0
8115,LK,Böblingen,55.1,381281.0
15083,LK,Börde,-68.0,173473.0
8235,LK,Calw,-96.3,155359.0
3351,LK,Celle,-79.2,177971.0
9372,LK,Cham,70.39999999999999,126359.0
14511,SK,Chemnitz,99.4,248645.0
3453,LK,Cloppenburg,-87.7,164734.0
9463,SK,Coburg,71.7,41257.0
9473,LK,Coburg,93.2,86599.0
7135,LK,Cochem-Zell,97.1,62391.0
5558,LK,Coesfeld,-75.0,218401.0
12052,SK,Cottbus,61.1,99687.0
3352,LK,Cuxhaven,-92.8,198103.0
9174,LK,Dachau,-56.5,149370.0
12061,LK,Dahme-Spreewald,-78.6,164528.0
6411,SK,Darmstadt,67.2,155353.0
6432,LK,Darmstadt-Dieburg,-68.7,292773.0
9271,LK,Deggendorf,85.5,116596.0
3401,SK,Delmenhorst,95.0,76323.0
15001,SK,Dessau-Roßlau,-56.9,82919.0
3251,LK,Diepholz,-70.5,213976.0
9773,LK,Dillingen,73.9,94575.0
9279,LK,Dingolfing-Landau,78.2,94104.0
1051,LK,Dithmarschen,-85.2,132917.0
9779,LK,Donau-Ries,-87.6,131345.0
7333,LK,Donnersbergkreis,-99.3,75230.0
5913,SK,Dortmund,-62.1,586181.0
14612,SK,Dresden,-88.6,543825.0
5112,SK,Duisburg,73.3,491231.0
5358,LK,Düren,-66.19999999999999,262828.0
5111,SK,Düsseldorf,81.10000000000001,612178.0
9175,LK,Ebersberg,-56.4,137421.0
16061,LK,Eichsfeld,-94.3,101325.0
9176,LK,Eichstätt,96.89999999999999,128805.0
16056,SK,Eisenach,-95.8,42417.0
12062,LK,Elbe-Elster,-87.8,104673.0
3402,SK,Emden,80.2,50694.0
8316,LK,Emmendingen,-80.0,162082.0
3454,LK,Emsland,-66.69999999999999,319488.0
5954,LK,Ennepe-Ruhr-Kreis,-73.5,325954.0
8236,LK,Enzkreis,64.4,196066.0
9177,LK,Erding,-74.6,133747.0
16051,SK,Erfurt,-88.3,210118.0
9562,SK,Erlangen,-66.19999999999999,108336.0
9572,LK,Erlangen-Höchstadt,-74.0,134136.0
14521,LK,Erzgebirgskreis,75.5,347665.0
5113,SK,Essen,51.800000000000004,582624.0
8116,LK,Esslingen,-58.2,524127.0
5366,LK,Euskirchen,-55.1,191165.0
1001,SK,Flensburg,-54.9,85942.0
9474,LK,Forchheim,-91.2,114834.0
7311,SK,Frankenthal,-96.9,48363.0
6412,SK,Frankfurt,73.6,732688.0
12053,SK,Frankfurt,99.0,58092.0
8311,SK,Freiburg,-72.4,226393.0
9178,LK,Freising,79.60000000000001,173225.0
8237,LK,Freudenstadt,63.800000000000004,116233.0
9272,LK,Freyung-Grafenau,68.60000000000001,78122.0
3455,LK,Friesland,86.7,97900.0
6631,LK,Fulda,56.00000000000001,220132.0
9179,LK,Fürstenfeldbruck,90.2,213481.0
9563,SK,Fürth,-51.1,124171.0
9573,LK,Fürth,-87.2,114291.0
9180,LK,Garmisch-Partenkirchen,51.800000000000004,87385.0
5513,SK,Gelsenkirchen,-70.8,260368.0
16052,SK,Gera,-71.80000000000001,96011.0
7334,LK,Germersheim,62.6,127303.0
6531,LK,Gießen,-86.6,262505.0
3151,LK,Gifhorn,70.19999999999999,174205.0
3153,LK,Goslar,83.39999999999999,138236.0
16067,LK,Gotha,76.6,136831.0
3456,LK,Grafschaft,-96.9,135662.0
16076,LK,Greiz,-81.2,101114.0
6433,LK,Groß-Gerau,-52.800000000000004,266042.0
8117,LK,Göppingen,-72.4,252749.0
14626,LK,Görlitz,-96.4,260000.0
3159,LK,Göttingen,98.8,329538.0
9774,LK,Günzburg,-97.7,123153.0
5754,LK,Gütersloh,60.5,360642.0
5914,SK,Hagen,-70.2,189044.0
15002,SK,Halle,75.5,236991.0
2000,SK,Hamburg,94.39999999999999,1787408.0
3252,LK,Hameln-Pyrmont,-98.4,148281.0
5915,SK,Hamm,-97.7,179397.0
3241,Region,Hannover,65.10000000000001,1144481.0
3353,LK,Harburg,-82.7,248122.0
15085,LK,Harz,96.3,221366.0
12063,LK,Havelland,54.50000000000001,158236.0
9674,LK,Haßberge,87.8,84581.0
3358,LK,Heidekreis,91.0,140264.0
8221,SK,Heidelberg,-84.5,156267.0
8135,LK,Heidenheim,78.3,130527.0
8121,SK,Heilbronn,97.6,122567.0
8125,LK,Heilbronn,76.8,334388.0
5370,LK,Heinsberg,-76.4,252527.0
3154,LK,Helmstedt,-92.4,91500.0
5758,LK,Herford,-77.0,252122.0
5916,SK,Herne,-62.8,155851.0
6632,LK,Hersfeld-Rotenburg,-71.7,121166.0
1053,LK,Herzogtum,85.0,192999.0
