,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-05-26,13.112639,9.615839371690527,6,4.399956000439996,18,13.199868001319986,2,1.4666520001466652,30,21.999780002199977,9.161771,6.718564691254869,4,2.9333040002933304,12,8.799912000879992,1,0.7333260000733326,21,15.399846001539984,,,,,,,,,,,33.0,,False,True,False
2021-05-27,12.629778,9.26174470805563,6,4.399956000439996,17,12.466542001246655,3,2.199978000219998,31,22.733106002273313,8.418745,6.173684960231185,4,2.9333040002933304,12,8.799912000879992,1,0.7333260000733326,19,13.93319400139332,,,,,,,,,,,18.0,,False,False,False
2021-05-28,9.377509,6.876770930830389,5,3.6666300003666628,12,8.799912000879992,1,0.7333260000733326,22,16.133172001613318,7.7409415,5.676633736584336,4,2.9333040002933304,11,8.066586000806659,1,0.7333260000733326,19,13.93319400139332,,,,,,,,,,,10.0,,False,False,False
2021-05-29,5.461945,4.005386290373281,2,1.4666520001466652,8,5.866608000586661,0,0.0,14,10.266564001026657,7.122279,5.222952313488349,3,2.199978000219998,9,6.599934000659993,1,0.7333260000733326,17,12.466542001246655,,,,,,,,,,,2.0,,False,False,False
2021-05-30,3.4168499,2.5056648155441508,1,0.7333260000733326,5,3.6666300003666628,0,0.0,9,6.599934000659993,6.5572586,4.808608355233446,3,2.199978000219998,9,6.599934000659993,1,0.7333260000733326,15,10.999890001099988,,,,,,,,,,,0.0,,False,False,False
2021-05-31,3.268623,2.396966374362819,1,0.7333260000733326,5,3.6666300003666628,0,0.0,9,6.599934000659993,6.040919,4.429962791618891,3,2.199978000219998,8,5.866608000586661,1,0.7333260000733326,15,10.999890001099988,,,,,,,,,,,0.0,,False,False,False
2021-06-01,9.140785,6.70317531330511,4,2.9333040002933304,13,9.533238000953324,1,0.7333260000733326,21,15.399846001539984,5.568791,4.083739258931018,3,2.199978000219998,7,5.133282000513328,1,0.7333260000733326,13,9.533238000953324,50.610694753646854,37.114138344624244,37.0,27.133062002713306,60.0,43.99956000439995,27.0,19.79980200197998,83.0,60.86605800608661,2.0,65.0,False,False,False
2021-06-02,7.9973187,5.86464193474967,4,2.9333040002933304,11,8.066586000806659,1,0.7333260000733326,19,13.93319400139332,5.1368403,3.7669786252081394,2,1.4666520001466652,7,5.133282000513328,1,0.7333260000733326,12,8.799912000879992,46.58576524543762,34.162552887792046,34.0,24.93308400249331,56.0,41.06625600410663,25.0,18.333150001833314,74.0,54.26612400542661,15.0,47.0,False,True,False
2021-06-03,6.2950044,4.6162902435753495,3,2.199978000219998,9,6.599934000659993,1,0.7333260000733326,15,10.999890001099988,4.741405,3.4769956982927397,2,1.4666520001466652,6,4.399956000439996,0,0.0,11,8.066586000806659,42.90843098640442,31.465868064682596,32.0,23.466432002346643,51.0,37.39962600373996,22.0,16.133172001613318,67.0,49.13284200491328,2.0,31.0,False,False,False
2021-06-04,4.4072666,3.2319632737198845,2,1.4666520001466652,6,4.399956000439996,0,0.0,10,7.3332600007333255,4.3792005,3.211381408618763,2,1.4666520001466652,6,4.399956000439996,0,0.0,10,7.3332600007333255,39.546688684463504,29.000615029122944,30.0,21.999780002199977,47.0,34.466322003446635,20.0,14.666520001466651,62.0,45.46621200454663,0.0,21.0,False,False,False
2021-06-05,2.9731374,2.180278897867538,1,0.7333260000733326,4,2.9333040002933304,0,0.0,7,5.133282000513328,4.047233,2.967941327369772,2,1.4666520001466652,5,3.6666300003666628,0,0.0,10,7.3332600007333255,36.47164283561707,26.745603956746283,28.0,20.533128002053314,43.0,31.533018003153302,20.0,14.666520001466651,57.0,41.79958200417996,2.0,21.0,False,False,False
2021-06-06,2.0802605,1.5255091057042591,1,0.7333260000733326,3,2.199978000219998,0,0.0,6,4.399956000439996,3.7427998,2.7446923922980204,2,1.4666520001466652,6,4.399956000439996,0,0.0,10,7.3332600007333255,33.65719004058838,24.681692546172684,25.0,18.333150001833314,40.0,29.333040002933302,19.0,13.93319400139332,52.0,38.132952003813294,0.0,21.0,False,False,False
2021-06-07,2.0597372,1.5104588783287909,1,0.7333260000733326,3,2.199978000219998,0,0.0,6,4.399956000439996,3.4634626,2.539847082516644,2,1.4666520001466652,5,3.6666300003666628,0,0.0,9,6.599934000659993,31.07973628616333,22.79157869406617,24.0,17.599824001759984,37.0,27.133062002713306,16.0,11.733216001173322,49.0,35.932974003593294,3.0,24.0,False,False,False
2021-06-08,5.416468,3.972036938648671,3,2.199978000219998,8,5.866608000586661,1,0.7333260000733326,15,10.999890001099988,3.2070017,2.3517777663073502,1,0.7333260000733326,4,2.9333040002933304,0,0.0,8,5.866608000586661,28.717944895744324,21.059615660722564,22.0,16.133172001613318,34.0,24.93308400249331,15.0,10.999890001099988,46.0,33.7329960033733,10.0,32.0,False,True,False
2021-06-09,4.3744316,3.2078845833893865,2,1.4666520001466652,6,4.399956000439996,0,0.0,11,8.066586000806659,2.9713995,2.179004513891414,1,0.7333260000733326,4,2.9333040002933304,0,0.0,7,5.133282000513328,26.55250844669342,19.471644811127064,20.0,14.666520001466651,31.0,22.733106002273313,13.0,9.533238000953324,43.0,31.533018003153302,4.0,21.0,False,False,False
2021-06-10,3.6059868,2.6443638489581645,1,0.7333260000733326,5,3.6666300003666628,0,0.0,10,7.3332600007333255,2.754847,2.020200918195769,1,0.7333260000733326,4,2.9333040002933304,0,0.0,7,5.133282000513328,24.56594812107086,18.014848473633894,18.0,13.199868001319986,29.0,21.266454002126643,13.0,9.533238000953324,39.0,28.599714002859972,3.0,22.0,False,False,False
2021-06-11,2.703735,1.982719186344184,1,0.7333260000733326,4,2.9333040002933304,0,0.0,7,5.133282000513328,2.5556843,1.8741497115115635,1,0.7333260000733326,4,2.9333040002933304,0,0.0,7,5.133282000513328,22.742431002616883,16.67761595909279,17.0,12.466542001246655,27.0,19.79980200197998,11.0,8.066586000806659,38.0,27.86638800278664,1.0,23.0,False,False,False
2021-06-12,1.7829447,1.3074796697765123,0,0.0,3,2.199978000219998,0,0.0,6,4.399956000439996,2.372409,1.7397493138560094,1,0.7333260000733326,3,2.199978000219998,0,0.0,6,4.399956000439996,21.06760810661316,15.449424783935145,15.0,10.999890001099988,25.0,18.333150001833314,10.0,7.3332600007333255,35.0,25.66641000256664,0.0,21.0,False,False,False
2021-06-13,1.2172074,0.8926098416850436,0,0.0,2,1.4666520001466652,0,0.0,4,2.9333040002933304,2.203663,1.6160034647327848,1,0.7333260000733326,3,2.199978000219998,0,0.0,6,4.399956000439996,19.528468108177186,14.320733405329218,14.0,10.266564001026657,24.0,17.599824001759984,9.0,6.599934000659993,32.0,23.466432002346643,1.0,22.0,False,False,False
